model_id,d_A,intensity
angle27_cand19,3.183157057655629,2579337.8447870975
angle27_cand19,3.1411962627189505,2403215.957713025
angle27_cand19,3.100402165808998,2332505.741714215
angle27_cand19,3.0607277195507496,1994484.589764804
angle27_cand19,3.0221283685421896,1839851.624207933
angle27_cand19,2.9845618864902175,1405228.495774301
angle27_cand19,2.9479882259554047,1489625.0733767
angle27_cand19,2.912369379581268,1481410.2862250803
angle27_cand19,2.8776692517968083,1510236.628317617
angle27_cand19,2.8438535400816245,1667503.093562424
angle27_cand19,2.810889624972247,1800720.6309298275
angle27_cand19,2.7787464680680305,2001373.829092001
angle27_cand19,2.747394517365969,2177335.763187743
angle27_cand19,2.7168056193173014,2158566.42456728
angle27_cand19,2.6869529370555894,2057774.6721958427
angle27_cand19,2.657810874296835,2087196.095701674
angle27_cand19,2.629355004457874,1950361.770709712
angle27_cand19,2.601562004580294,1771896.4739694265
angle27_cand19,2.57440959368403,1902912.431058728
angle27_cand19,2.547876475208006,1865235.9143779678
angle27_cand19,2.5219422832251377,2029082.3611516908
angle27_cand19,2.4965875321460995,2260588.8877448137
angle27_cand19,2.4717935696506212,2418283.532839258
angle27_cand19,2.447542532607264,2773063.7306288285
angle27_cand19,2.4238173057626193,3300840.2913476345
angle27_cand19,2.400601482999028,2960661.939479581
angle27_cand19,2.3778793309764166,3497181.6982761924
angle27_cand19,2.3556357549888265,3130412.6148167825
angle27_cand19,2.3338562668798124,3649080.7260713624
angle27_cand19,2.3125269548733143,3517665.795252664
angle27_cand19,2.2916344551879,3951140.1938716676
angle27_cand19,2.2711659253125793,3818729.6989562847
angle27_cand19,2.251109018831818,4993593.3171393
angle27_cand19,2.2314518616959678,3336493.2438830463
angle27_cand19,2.212183029841217,4989534.553888344
angle27_cand19,2.193291528070352,4466167.958446004
angle27_cand19,2.1747667701122286,4146322.8079793113
angle27_cand19,2.156598559783912,4075616.274615714
angle27_cand19,2.138777073184987,3653408.7888890565
angle27_cand19,2.121292841858658,3003020.2535327417
angle27_cand19,2.1041367368589317,2961370.4763283352
angle27_cand19,2.087299953667518,2413410.594930298
angle27_cand19,2.054550671808726,2775506.163656678
angle27_cand19,2.0229805241837067,3427810.317694506
angle27_cand19,1.9925293892289613,3569233.8907603296
